TailNumber,Origin,Destination,TravelDate,TravelTime,SeatPrice,Capacity,AircraftName,FirstName,LastName,DOB
M2286,LAX,BOS,2019-11-26,6,134.43,174,Boeing-787,Robert,Greene,MTk5MS0xMS0wOQ==
U2999,LAX,EWR,2020-02-27,2,315.22,211,Airbus-A330,Emily,Anderson,MTk5My0wMy0yMA==
O2858,JFK,PHX,2019-07-26,5,414.44,89,Boeing-777,Russell,Brown,MTk5Mi0xMS0xNA==
U2698,JFK,BOS,2019-06-01,2,213.52,122,Boeing-787,Robert,Greene,MTk5MS0xMS0wOQ==
R3228,SFO,FLL,2019-10-31,8,423.52,62,Boeing-787,Emily,Anderson,MTk5My0wMy0yMA==
U2999,LAS,DTW,2019-10-13,2,106.51,211,Airbus-A330,Russell,Brown,MTk5Mi0xMS0xNA==
K2295,DFW,MSP,2019-07-14,6,433.74,194,Boeing-767,Russell,Brown,MTk5Mi0xMS0xNA==
N2413,LAX,PHL,2020-02-08,4,326.3,74,Airbus-A350,Emily,Anderson,MTk5My0wMy0yMA==
T3231,JFK,MSP,2019-11-19,10,450.98,225,Boeing-787,Russell,Brown,MTk5Mi0xMS0xNA==
V2774,ORD,PHX,2019-07-27,4,162.39,142,Boeing-747,Emily,Anderson,MTk5My0wMy0yMA==
V2774,DFW,MSP,2019-08-04,5,234.56,142,Boeing-747,Russell,Brown,MTk5Mi0xMS0xNA==
V2774,DEN,IAH,2020-03-07,4,116.71,142,Boeing-747,Russell,Brown,MTk5Mi0xMS0xNA==
U2999,JFK,MSP,2020-02-24,10,410.76,211,Airbus-A330,Robert,Greene,MTk5MS0xMS0wOQ==
R2942,DFW,FLL,2019-09-01,3,390.11,204,Boeing-767,Robert,Greene,MTk5MS0xMS0wOQ==
N2413,SEA,BOS,2020-02-28,6,99.62,74,Airbus-A350,Phil,Fury,MTk4Ni0xMS0wOA==
N3093,SFO,DTW,2020-02-20,8,52.92,85,Airbus-A340,Russell,Brown,MTk5Mi0xMS0xNA==
V2774,LAX,IAH,2020-04-23,5,118.7,142,Boeing-747,Emily,Anderson,MTk5My0wMy0yMA==
D3204,ATL,BOS,2019-05-19,5,289.64,29,Airbus-A380,Emily,Anderson,MTk5My0wMy0yMA==
K2295,SEA,PHL,2020-01-07,2,325.4,194,Boeing-767,Russell,Brown,MTk5Mi0xMS0xNA==
U2999,LAS,FLL,2019-05-27,1,484.42,211,Airbus-A330,Phil,Fury,MTk4Ni0xMS0wOA==
K2295,JFK,IAH,2019-09-05,6,417.84,194,Boeing-767,Phil,Fury,MTk4Ni0xMS0wOA==
N3093,ORD,DTW,2019-08-21,8,228.95,85,Airbus-A340,Russell,Brown,MTk5Mi0xMS0xNA==
Q2705,MCO,FLL,2019-05-27,8,93.42,125,Boeing-777,Phil,Fury,MTk4Ni0xMS0wOA==
O2858,SEA,IAH,2019-12-13,4,81.48,89,Boeing-777,Emily,Anderson,MTk5My0wMy0yMA==
O2806,DEN,MSP,2019-12-07,10,446.92,133,Airbus-A350,Phil,Fury,MTk4Ni0xMS0wOA==
U2808,SFO,CLT,2020-01-05,3,242.74,75,Airbus-A380,Emily,Anderson,MTk5My0wMy0yMA==
K2295,JFK,FLL,2020-02-12,4,412.51,194,Boeing-767,Phil,Fury,MTk4Ni0xMS0wOA==
N2413,MCO,EWR,2019-08-15,1,443.75,74,Airbus-A350,Russell,Brown,MTk5Mi0xMS0xNA==
N2355,DFW,FLL,2019-12-14,6,240.45,67,Boeing-777,Emily,Anderson,MTk5My0wMy0yMA==
N2355,DFW,IAH,2019-11-01,1,359.87,67,Boeing-777,Emily,Anderson,MTk5My0wMy0yMA==
N2355,ORD,MSP,2019-09-07,8,371.07,67,Boeing-777,Robert,Greene,MTk5MS0xMS0wOQ==
K2295,ATL,PHX,2019-11-19,4,186.72,194,Boeing-767,Russell,Brown,MTk5Mi0xMS0xNA==
U2999,JFK,MSP,2019-08-08,9,268.46,211,Airbus-A330,Phil,Fury,MTk4Ni0xMS0wOA==
T3231,LAX,CLT,2019-12-07,10,450.34,225,Boeing-787,Phil,Fury,MTk4Ni0xMS0wOA==
K2295,ATL,MIA,2020-02-07,2,273.01,194,Boeing-767,Robert,Greene,MTk5MS0xMS0wOQ==
T3231,ATL,EWR,2020-03-22,6,324.0,225,Boeing-787,Robert,Greene,MTk5MS0xMS0wOQ==
U2808,ORD,CLT,2020-01-11,9,151.94,75,Airbus-A380,Phil,Fury,MTk4Ni0xMS0wOA==
U2698,LAS,PHX,2019-06-27,7,328.75,122,Boeing-787,Emily,Anderson,MTk5My0wMy0yMA==
X2978,SEA,MIA,2019-08-06,5,170.64,59,Boeing-777,Russell,Brown,MTk5Mi0xMS0xNA==
X2978,DFW,CLT,2019-09-09,1,421.74,59,Boeing-777,Russell,Brown,MTk5Mi0xMS0xNA==
N3093,DEN,IAH,2019-10-28,1,247.75,85,Airbus-A340,Phil,Fury,MTk4Ni0xMS0wOA==
O2858,ATL,CLT,2019-06-05,6,386.12,89,Boeing-777,Emily,Anderson,MTk5My0wMy0yMA==
N2413,MCO,EWR,2019-08-15,1,365.58,74,Airbus-A350,Emily,Anderson,MTk5My0wMy0yMA==
V3243,LAS,PHL,2019-09-06,4,495.06,114,Boeing-747,Russell,Brown,MTk5Mi0xMS0xNA==
R2942,LAS,PHX,2019-05-14,4,375.85,204,Boeing-767,Robert,Greene,MTk5MS0xMS0wOQ==
X2978,LAX,CLT,2020-01-03,7,473.98,59,Boeing-777,Emily,Anderson,MTk5My0wMy0yMA==
K2295,DFW,FLL,2019-07-06,10,489.88,194,Boeing-767,Robert,Greene,MTk5MS0xMS0wOQ==
U2999,MCO,IAH,2019-05-04,5,59.07,211,Airbus-A330,Phil,Fury,MTk4Ni0xMS0wOA==
U2698,SFO,PHX,2020-03-12,4,219.96,122,Boeing-787,Phil,Fury,MTk4Ni0xMS0wOA==
N2355,ORD,CLT,2019-11-15,3,226.79,67,Boeing-777,Phil,Fury,MTk4Ni0xMS0wOA==
O2806,MCO,CLT,2019-06-10,3,445.29,133,Airbus-A350,Phil,Fury,MTk4Ni0xMS0wOA==
R2942,JFK,EWR,2020-02-25,7,202.22,204,Boeing-767,Phil,Fury,MTk4Ni0xMS0wOA==
O2806,ATL,PHL,2019-09-27,1,53.08,133,Airbus-A350,Robert,Greene,MTk5MS0xMS0wOQ==
D2204,DFW,DTW,2020-01-11,2,326.96,23,Boeing-787,Emily,Anderson,MTk5My0wMy0yMA==
T3231,MCO,DTW,2019-07-05,1,177.27,225,Boeing-787,Russell,Brown,MTk5Mi0xMS0xNA==
V2774,SEA,IAH,2019-06-30,4,363.61,142,Boeing-747,Russell,Brown,MTk5Mi0xMS0xNA==
D3204,DEN,MIA,2020-04-07,1,338.62,29,Airbus-A380,Phil,Fury,MTk4Ni0xMS0wOA==
K2295,SFO,DTW,2019-12-21,5,391.89,194,Boeing-767,Russell,Brown,MTk5Mi0xMS0xNA==
N2413,LAS,CLT,2019-07-28,4,68.99,74,Airbus-A350,Robert,Greene,MTk5MS0xMS0wOQ==
M2286,LAS,MIA,2019-12-09,6,88.91,174,Boeing-787,Phil,Fury,MTk4Ni0xMS0wOA==
R2942,SEA,DTW,2019-06-29,5,178.84,204,Boeing-767,Emily,Anderson,MTk5My0wMy0yMA==
N3093,MCO,BOS,2019-09-04,9,381.87,85,Airbus-A340,Emily,Anderson,MTk5My0wMy0yMA==
Q2705,MCO,IAH,2019-10-10,6,216.16,125,Boeing-777,Emily,Anderson,MTk5My0wMy0yMA==
D2204,ORD,DTW,2019-08-17,3,297.41,23,Boeing-787,Phil,Fury,MTk4Ni0xMS0wOA==
N2355,MCO,MIA,2020-03-17,2,172.47,67,Boeing-777,Emily,Anderson,MTk5My0wMy0yMA==
U2808,SEA,IAH,2019-07-09,10,266.04,75,Airbus-A380,Emily,Anderson,MTk5My0wMy0yMA==
N2413,SFO,BOS,2019-12-16,2,196.48,74,Airbus-A350,Robert,Greene,MTk5MS0xMS0wOQ==
M2286,ATL,PHX,2019-07-20,10,61.84,174,Boeing-787,Russell,Brown,MTk5Mi0xMS0xNA==
Z2791,ORD,PHL,2019-07-02,7,143.23,46,Boeing-787,Emily,Anderson,MTk5My0wMy0yMA==
D2204,DEN,MSP,2019-08-22,8,284.06,23,Boeing-787,Robert,Greene,MTk5MS0xMS0wOQ==
D3204,SEA,MSP,2020-04-07,6,71.42,29,Airbus-A380,Phil,Fury,MTk4Ni0xMS0wOA==
O2858,LAS,CLT,2019-10-10,3,426.67,89,Boeing-777,Phil,Fury,MTk4Ni0xMS0wOA==
D3204,ATL,PHL,2020-03-16,7,223.85,29,Airbus-A380,Russell,Brown,MTk5Mi0xMS0xNA==
V2774,SEA,CLT,2020-02-16,6,451.96,142,Boeing-747,Russell,Brown,MTk5Mi0xMS0xNA==
M2286,LAS,CLT,2019-08-14,1,301.87,174,Boeing-787,Phil,Fury,MTk4Ni0xMS0wOA==
Z2791,ATL,PHL,2020-03-08,7,434.29,46,Boeing-787,Robert,Greene,MTk5MS0xMS0wOQ==
U2999,LAS,PHL,2019-12-20,7,412.98,211,Airbus-A330,Emily,Anderson,MTk5My0wMy0yMA==
R3228,MCO,CLT,2020-03-24,5,427.66,62,Boeing-787,Russell,Brown,MTk5Mi0xMS0xNA==
U2999,ATL,MIA,2019-12-30,1,347.07,211,Airbus-A330,Robert,Greene,MTk5MS0xMS0wOQ==
Q2705,ATL,DTW,2019-08-07,5,350.31,125,Boeing-777,Emily,Anderson,MTk5My0wMy0yMA==
U2698,SFO,EWR,2019-12-10,8,356.35,122,Boeing-787,Emily,Anderson,MTk5My0wMy0yMA==
U2698,MCO,MIA,2019-08-01,8,208.12,122,Boeing-787,Robert,Greene,MTk5MS0xMS0wOQ==
D2204,ATL,MSP,2019-08-03,7,260.59,23,Boeing-787,Robert,Greene,MTk5MS0xMS0wOQ==
R2942,DEN,BOS,2019-12-10,8,61.71,204,Boeing-767,Emily,Anderson,MTk5My0wMy0yMA==
T3231,SEA,BOS,2019-05-13,1,192.92,225,Boeing-787,Emily,Anderson,MTk5My0wMy0yMA==
O2806,LAX,PHL,2019-06-30,3,315.4,133,Airbus-A350,Russell,Brown,MTk5Mi0xMS0xNA==
N2413,LAX,FLL,2019-12-10,10,156.12,74,Airbus-A350,Russell,Brown,MTk5Mi0xMS0xNA==
Q2705,LAS,BOS,2019-12-24,10,497.88,125,Boeing-777,Robert,Greene,MTk5MS0xMS0wOQ==
M2286,ATL,BOS,2020-02-29,2,378.74,174,Boeing-787,Emily,Anderson,MTk5My0wMy0yMA==
O2858,SEA,FLL,2020-01-20,1,421.52,89,Boeing-777,Emily,Anderson,MTk5My0wMy0yMA==
N3093,ORD,FLL,2019-05-06,3,157.41,85,Airbus-A340,Russell,Brown,MTk5Mi0xMS0xNA==
O2858,LAS,DTW,2019-09-22,5,357.51,89,Boeing-777,Phil,Fury,MTk4Ni0xMS0wOA==
O2806,DEN,PHX,2019-06-01,6,93.83,133,Airbus-A350,Robert,Greene,MTk5MS0xMS0wOQ==
U2698,DFW,FLL,2019-07-14,9,61.24,122,Boeing-787,Phil,Fury,MTk4Ni0xMS0wOA==
M2286,MCO,MSP,2019-11-01,1,169.06,174,Boeing-787,Emily,Anderson,MTk5My0wMy0yMA==
T3231,SFO,CLT,2019-06-11,10,306.32,225,Boeing-787,Phil,Fury,MTk4Ni0xMS0wOA==
D3204,SEA,EWR,2020-01-29,7,230.14,29,Airbus-A380,Phil,Fury,MTk4Ni0xMS0wOA==
X2978,ATL,MSP,2019-09-08,1,378.24,59,Boeing-777,Emily,Anderson,MTk5My0wMy0yMA==
N2355,LAX,IAH,2019-09-30,3,271.44,67,Boeing-777,Phil,Fury,MTk4Ni0xMS0wOA==
Z2791,ATL,PHX,2019-09-06,2,432.79,46,Boeing-787,Robert,Greene,MTk5MS0xMS0wOQ==
T3231,DFW,MSP,2019-07-22,1,395.46,225,Boeing-787,Russell,Brown,MTk5Mi0xMS0xNA==
U2999,DEN,EWR,2020-04-07,8,330.53,211,Airbus-A330,Robert,Greene,MTk5MS0xMS0wOQ==
U2698,SFO,MSP,2020-03-09,3,168.92,122,Boeing-787,Russell,Brown,MTk5Mi0xMS0xNA==
N2413,SEA,MSP,2019-07-17,5,248.97,74,Airbus-A350,Robert,Greene,MTk5MS0xMS0wOQ==
Q2705,DFW,MSP,2019-07-07,3,88.15,125,Boeing-777,Phil,Fury,MTk4Ni0xMS0wOA==
R2942,ORD,FLL,2019-07-25,3,240.82,204,Boeing-767,Robert,Greene,MTk5MS0xMS0wOQ==
O2858,SFO,BOS,2019-11-17,9,433.59,89,Boeing-777,Phil,Fury,MTk4Ni0xMS0wOA==
O2858,SFO,CLT,2019-12-04,7,291.46,89,Boeing-777,Russell,Brown,MTk5Mi0xMS0xNA==
N2413,SFO,IAH,2020-03-26,10,143.12,74,Airbus-A350,Russell,Brown,MTk5Mi0xMS0xNA==
V2774,DFW,IAH,2020-03-17,6,108.41,142,Boeing-747,Russell,Brown,MTk5Mi0xMS0xNA==
R3228,DEN,DTW,2019-08-31,5,53.61,62,Boeing-787,Phil,Fury,MTk4Ni0xMS0wOA==
D2204,LAS,PHX,2019-10-12,5,228.02,23,Boeing-787,Phil,Fury,MTk4Ni0xMS0wOA==
R3228,SFO,PHL,2019-11-01,5,348.44,62,Boeing-787,Russell,Brown,MTk5Mi0xMS0xNA==
V2774,LAX,CLT,2019-10-31,5,135.24,142,Boeing-747,Robert,Greene,MTk5MS0xMS0wOQ==
V2774,LAX,PHL,2019-12-29,2,482.82,142,Boeing-747,Robert,Greene,MTk5MS0xMS0wOQ==
R3228,DFW,MSP,2020-01-04,10,254.42,62,Boeing-787,Robert,Greene,MTk5MS0xMS0wOQ==
M2286,ORD,BOS,2019-10-31,8,422.09,174,Boeing-787,Emily,Anderson,MTk5My0wMy0yMA==
O2858,SFO,EWR,2019-12-02,2,379.24,89,Boeing-777,Emily,Anderson,MTk5My0wMy0yMA==
V2774,DEN,PHL,2020-03-29,1,68.56,142,Boeing-747,Phil,Fury,MTk4Ni0xMS0wOA==
Q2705,DFW,FLL,2020-01-23,4,314.32,125,Boeing-777,Russell,Brown,MTk5Mi0xMS0xNA==
Z2791,LAX,DTW,2019-12-11,5,491.72,46,Boeing-787,Phil,Fury,MTk4Ni0xMS0wOA==
O2858,LAS,EWR,2019-12-18,8,150.23,89,Boeing-777,Russell,Brown,MTk5Mi0xMS0xNA==
U2808,ATL,MSP,2019-08-13,6,285.2,75,Airbus-A380,Robert,Greene,MTk5MS0xMS0wOQ==
X2978,MCO,IAH,2019-09-28,6,165.94,59,Boeing-777,Phil,Fury,MTk4Ni0xMS0wOA==
N2355,SFO,FLL,2020-03-13,10,161.58,67,Boeing-777,Russell,Brown,MTk5Mi0xMS0xNA==
X2978,LAS,BOS,2019-05-14,10,330.45,59,Boeing-777,Robert,Greene,MTk5MS0xMS0wOQ==
N2355,DFW,PHX,2019-05-11,10,230.61,67,Boeing-777,Emily,Anderson,MTk5My0wMy0yMA==
V3243,JFK,CLT,2019-10-03,10,83.77,114,Boeing-747,Russell,Brown,MTk5Mi0xMS0xNA==
R3228,DEN,IAH,2019-08-09,6,140.77,62,Boeing-787,Phil,Fury,MTk4Ni0xMS0wOA==
N2413,JFK,MIA,2019-07-21,1,305.12,74,Airbus-A350,Robert,Greene,MTk5MS0xMS0wOQ==
N3093,JFK,MSP,2019-08-20,1,339.06,85,Airbus-A340,Russell,Brown,MTk5Mi0xMS0xNA==
N2413,DFW,DTW,2019-12-02,7,129.6,74,Airbus-A350,Emily,Anderson,MTk5My0wMy0yMA==
V2774,ATL,EWR,2019-08-02,1,124.94,142,Boeing-747,Robert,Greene,MTk5MS0xMS0wOQ==
U2999,SEA,IAH,2020-03-01,2,294.93,211,Airbus-A330,Emily,Anderson,MTk5My0wMy0yMA==
M2286,MCO,MSP,2019-10-23,9,115.33,174,Boeing-787,Phil,Fury,MTk4Ni0xMS0wOA==
Q2705,MCO,MIA,2019-08-12,10,290.4,125,Boeing-777,Robert,Greene,MTk5MS0xMS0wOQ==
D3204,JFK,MIA,2019-06-13,4,246.33,29,Airbus-A380,Robert,Greene,MTk5MS0xMS0wOQ==
M2286,DEN,MSP,2019-11-21,8,336.24,174,Boeing-787,Emily,Anderson,MTk5My0wMy0yMA==
O2806,SFO,IAH,2019-10-23,5,267.35,133,Airbus-A350,Emily,Anderson,MTk5My0wMy0yMA==
V3243,MCO,PHL,2019-05-30,6,329.61,114,Boeing-747,Phil,Fury,MTk4Ni0xMS0wOA==
V3243,SFO,MIA,2019-10-10,7,250.19,114,Boeing-747,Phil,Fury,MTk4Ni0xMS0wOA==
N3093,ORD,PHX,2019-07-06,7,259.09,85,Airbus-A340,Emily,Anderson,MTk5My0wMy0yMA==
X2978,ATL,PHL,2019-06-12,3,227.37,59,Boeing-777,Russell,Brown,MTk5Mi0xMS0xNA==
Z2791,DEN,IAH,2020-02-18,2,112.29,46,Boeing-787,Robert,Greene,MTk5MS0xMS0wOQ==
N2355,LAS,DTW,2019-10-20,1,334.92,67,Boeing-777,Phil,Fury,MTk4Ni0xMS0wOA==
N3093,SFO,DTW,2020-02-21,3,404.55,85,Airbus-A340,Emily,Anderson,MTk5My0wMy0yMA==
U2698,LAS,FLL,2019-11-13,4,308.28,122,Boeing-787,Robert,Greene,MTk5MS0xMS0wOQ==
R3228,DEN,PHL,2019-07-23,7,119.39,62,Boeing-787,Emily,Anderson,MTk5My0wMy0yMA==
O2806,SEA,FLL,2019-11-28,6,272.77,133,Airbus-A350,Robert,Greene,MTk5MS0xMS0wOQ==
T3231,MCO,BOS,2019-09-03,5,361.19,225,Boeing-787,Emily,Anderson,MTk5My0wMy0yMA==
K2295,ATL,BOS,2019-09-17,7,344.89,194,Boeing-767,Phil,Fury,MTk4Ni0xMS0wOA==
R2942,LAS,IAH,2019-05-12,9,373.61,204,Boeing-767,Phil,Fury,MTk4Ni0xMS0wOA==
U2999,LAS,IAH,2019-06-30,3,156.35,211,Airbus-A330,Emily,Anderson,MTk5My0wMy0yMA==
R3228,JFK,MIA,2019-07-29,1,248.53,62,Boeing-787,Emily,Anderson,MTk5My0wMy0yMA==
U2698,ORD,FLL,2020-03-19,1,307.17,122,Boeing-787,Emily,Anderson,MTk5My0wMy0yMA==
Z2791,DEN,DTW,2020-04-23,2,239.6,46,Boeing-787,Robert,Greene,MTk5MS0xMS0wOQ==
O2858,ORD,DTW,2019-12-23,10,478.85,89,Boeing-777,Russell,Brown,MTk5Mi0xMS0xNA==
O2858,ORD,BOS,2020-03-17,5,319.92,89,Boeing-777,Russell,Brown,MTk5Mi0xMS0xNA==
O2858,MCO,MSP,2020-01-22,6,408.43,89,Boeing-777,Emily,Anderson,MTk5My0wMy0yMA==
K2295,DFW,MIA,2019-07-13,8,446.28,194,Boeing-767,Emily,Anderson,MTk5My0wMy0yMA==
N2355,DEN,MIA,2019-05-18,9,76.96,67,Boeing-777,Russell,Brown,MTk5Mi0xMS0xNA==
X2978,SEA,MIA,2019-06-26,8,99.09,59,Boeing-777,Phil,Fury,MTk4Ni0xMS0wOA==
X2978,DFW,EWR,2019-10-21,4,204.7,59,Boeing-777,Russell,Brown,MTk5Mi0xMS0xNA==
N2413,SEA,EWR,2020-01-23,7,197.82,74,Airbus-A350,Russell,Brown,MTk5Mi0xMS0xNA==
T3231,MCO,MIA,2020-04-18,3,291.86,225,Boeing-787,Emily,Anderson,MTk5My0wMy0yMA==
D3204,MCO,EWR,2020-01-25,4,351.01,29,Airbus-A380,Robert,Greene,MTk5MS0xMS0wOQ==
U2808,ORD,PHX,2019-08-17,9,482.98,75,Airbus-A380,Phil,Fury,MTk4Ni0xMS0wOA==
D3204,SEA,MIA,2020-02-19,6,262.95,29,Airbus-A380,Emily,Anderson,MTk5My0wMy0yMA==
V2774,DEN,MSP,2019-09-24,4,52.61,142,Boeing-747,Phil,Fury,MTk4Ni0xMS0wOA==
U2808,MCO,DTW,2019-11-30,4,276.87,75,Airbus-A380,Robert,Greene,MTk5MS0xMS0wOQ==
N2413,DFW,IAH,2019-09-12,7,459.26,74,Airbus-A350,Phil,Fury,MTk4Ni0xMS0wOA==
R2942,LAX,DTW,2019-05-05,10,143.86,204,Boeing-767,Phil,Fury,MTk4Ni0xMS0wOA==
U2808,JFK,DTW,2019-09-06,6,68.44,75,Airbus-A380,Russell,Brown,MTk5Mi0xMS0xNA==
U2698,ATL,FLL,2019-06-23,1,255.81,122,Boeing-787,Russell,Brown,MTk5Mi0xMS0xNA==
R2942,SFO,PHX,2019-05-14,8,363.34,204,Boeing-767,Robert,Greene,MTk5MS0xMS0wOQ==
U2698,LAS,MIA,2020-04-06,7,146.55,122,Boeing-787,Phil,Fury,MTk4Ni0xMS0wOA==
U2698,JFK,MSP,2019-06-24,1,426.76,122,Boeing-787,Emily,Anderson,MTk5My0wMy0yMA==
U2999,LAS,EWR,2020-01-21,3,424.33,211,Airbus-A330,Russell,Brown,MTk5Mi0xMS0xNA==
U2808,JFK,BOS,2019-12-29,1,304.85,75,Airbus-A380,Robert,Greene,MTk5MS0xMS0wOQ==
N2413,LAX,BOS,2020-04-03,4,485.33,74,Airbus-A350,Phil,Fury,MTk4Ni0xMS0wOA==
D2204,DFW,PHX,2020-02-26,10,484.83,23,Boeing-787,Phil,Fury,MTk4Ni0xMS0wOA==
O2858,SEA,PHX,2019-05-10,4,58.75,89,Boeing-777,Russell,Brown,MTk5Mi0xMS0xNA==
Z2791,LAX,MIA,2019-08-28,7,120.71,46,Boeing-787,Emily,Anderson,MTk5My0wMy0yMA==
O2806,ORD,BOS,2019-09-09,8,356.39,133,Airbus-A350,Russell,Brown,MTk5Mi0xMS0xNA==
Z2791,ORD,PHX,2019-07-04,4,143.33,46,Boeing-787,Emily,Anderson,MTk5My0wMy0yMA==
T3231,ORD,CLT,2019-12-29,9,468.18,225,Boeing-787,Emily,Anderson,MTk5My0wMy0yMA==
M2286,SEA,BOS,2019-07-28,6,490.38,174,Boeing-787,Russell,Brown,MTk5Mi0xMS0xNA==
V3243,LAX,BOS,2020-01-22,9,99.81,114,Boeing-747,Robert,Greene,MTk5MS0xMS0wOQ==
Q2705,ORD,DTW,2019-11-15,10,157.68,125,Boeing-777,Robert,Greene,MTk5MS0xMS0wOQ==
T3231,LAS,FLL,2019-09-11,6,387.77,225,Boeing-787,Russell,Brown,MTk5Mi0xMS0xNA==
Z2791,DFW,BOS,2019-12-23,9,124.28,46,Boeing-787,Russell,Brown,MTk5Mi0xMS0xNA==
M2286,JFK,MIA,2019-11-15,4,412.95,174,Boeing-787,Phil,Fury,MTk4Ni0xMS0wOA==
X2978,DEN,EWR,2019-11-02,8,77.43,59,Boeing-777,Russell,Brown,MTk5Mi0xMS0xNA==
U2808,ATL,DTW,2019-09-07,8,277.88,75,Airbus-A380,Phil,Fury,MTk4Ni0xMS0wOA==
U2698,SFO,CLT,2020-03-03,8,439.64,122,Boeing-787,Emily,Anderson,MTk5My0wMy0yMA==
U2698,MCO,EWR,2019-05-09,7,382.31,122,Boeing-787,Phil,Fury,MTk4Ni0xMS0wOA==
Q2705,SEA,CLT,2019-05-24,2,132.94,125,Boeing-777,Robert,Greene,MTk5MS0xMS0wOQ==
O2858,LAS,CLT,2020-01-22,5,257.38,89,Boeing-777,Russell,Brown,MTk5Mi0xMS0xNA==
N2413,LAS,DTW,2019-10-21,6,359.01,74,Airbus-A350,Robert,Greene,MTk5MS0xMS0wOQ==
U2698,SEA,FLL,2019-12-21,3,153.82,122,Boeing-787,Robert,Greene,MTk5MS0xMS0wOQ==
X2978,SFO,FLL,2019-08-02,1,468.54,59,Boeing-777,Russell,Brown,MTk5Mi0xMS0xNA==
N2413,DEN,FLL,2019-06-14,3,405.54,74,Airbus-A350,Emily,Anderson,MTk5My0wMy0yMA==
O2806,MCO,MIA,2020-04-08,8,494.4,133,Airbus-A350,Robert,Greene,MTk5MS0xMS0wOQ==
D3204,MCO,FLL,2020-03-20,3,413.04,29,Airbus-A380,Robert,Greene,MTk5MS0xMS0wOQ==
D3204,ORD,CLT,2019-07-10,1,444.74,29,Airbus-A380,Robert,Greene,MTk5MS0xMS0wOQ==
O2858,LAX,BOS,2019-12-25,3,179.82,89,Boeing-777,Robert,Greene,MTk5MS0xMS0wOQ==
X2978,JFK,CLT,2020-01-31,9,346.36,59,Boeing-777,Emily,Anderson,MTk5My0wMy0yMA==
N2355,ATL,MSP,2019-08-20,6,449.76,67,Boeing-777,Robert,Greene,MTk5MS0xMS0wOQ==
X2978,SFO,BOS,2019-04-26,8,136.34,59,Boeing-777,Emily,Anderson,MTk5My0wMy0yMA==
K2295,MCO,DTW,2019-07-17,6,406.73,194,Boeing-767,Phil,Fury,MTk4Ni0xMS0wOA==
V2774,DEN,PHL,2020-02-13,3,426.4,142,Boeing-747,Emily,Anderson,MTk5My0wMy0yMA==
U2999,DEN,EWR,2019-09-20,7,88.91,211,Airbus-A330,Emily,Anderson,MTk5My0wMy0yMA==
O2858,DFW,IAH,2020-02-24,3,323.47,89,Boeing-777,Phil,Fury,MTk4Ni0xMS0wOA==
T3231,LAS,PHX,2019-05-23,2,321.44,225,Boeing-787,Russell,Brown,MTk5Mi0xMS0xNA==
U2999,LAX,DTW,2019-05-18,1,330.54,211,Airbus-A330,Russell,Brown,MTk5Mi0xMS0xNA==
U2808,LAS,PHL,2020-03-25,8,216.95,75,Airbus-A380,Phil,Fury,MTk4Ni0xMS0wOA==
Q2705,DFW,FLL,2019-12-05,2,99.97,125,Boeing-777,Russell,Brown,MTk5Mi0xMS0xNA==
K2295,JFK,MIA,2019-10-21,4,123.04,194,Boeing-767,Emily,Anderson,MTk5My0wMy0yMA==
O2806,DFW,PHL,2019-12-13,6,466.07,133,Airbus-A350,Emily,Anderson,MTk5My0wMy0yMA==
X2978,MCO,PHL,2019-12-25,7,69.68,59,Boeing-777,Phil,Fury,MTk4Ni0xMS0wOA==
R3228,ORD,PHL,2019-11-19,1,141.59,62,Boeing-787,Phil,Fury,MTk4Ni0xMS0wOA==
T3231,DFW,PHL,2019-06-26,7,280.33,225,Boeing-787,Phil,Fury,MTk4Ni0xMS0wOA==
V2774,MCO,PHX,2020-04-24,5,50.33,142,Boeing-747,Russell,Brown,MTk5Mi0xMS0xNA==
K2295,LAS,PHX,2019-11-28,2,255.01,194,Boeing-767,Emily,Anderson,MTk5My0wMy0yMA==
U2808,LAS,MIA,2019-05-18,10,458.34,75,Airbus-A380,Emily,Anderson,MTk5My0wMy0yMA==
R3228,LAS,FLL,2020-03-20,2,405.48,62,Boeing-787,Robert,Greene,MTk5MS0xMS0wOQ==
X2978,SEA,FLL,2019-07-18,9,107.36,59,Boeing-777,Russell,Brown,MTk5Mi0xMS0xNA==
T3231,SEA,BOS,2019-06-19,4,383.44,225,Boeing-787,Russell,Brown,MTk5Mi0xMS0xNA==
D2204,MCO,PHX,2020-03-20,8,345.3,23,Boeing-787,Robert,Greene,MTk5MS0xMS0wOQ==
X2978,DFW,EWR,2020-04-16,9,306.68,59,Boeing-777,Emily,Anderson,MTk5My0wMy0yMA==
Z2791,LAS,PHL,2019-10-14,2,110.34,46,Boeing-787,Robert,Greene,MTk5MS0xMS0wOQ==
O2858,JFK,MIA,2020-03-06,7,481.47,89,Boeing-777,Emily,Anderson,MTk5My0wMy0yMA==
U2999,SEA,IAH,2019-07-21,10,424.98,211,Airbus-A330,Phil,Fury,MTk4Ni0xMS0wOA==
R3228,ATL,PHX,2019-09-28,4,370.72,62,Boeing-787,Russell,Brown,MTk5Mi0xMS0xNA==
O2806,JFK,MIA,2020-02-12,5,295.8,133,Airbus-A350,Robert,Greene,MTk5MS0xMS0wOQ==
